month_index,monthly_inflow,monthly_outflow,average_balance,cheque_bounce_count
1,40.33,33.61,22.15,0
2,44.33,42.68,18.64,3
3,41.84,40.06,23.08,3
4,49.33,38.93,8.6,0
5,53.76,57.63,35.87,2
6,31.22,30.3,11.27,3
7,33.0,25.98,20.73,1
8,35.29,36.6,13.46,1
9,41.48,44.12,8.42,0
10,56.36,44.85,9.19,1
11,54.99,54.65,28.86,0
12,33.44,35.01,9.83,2
13,38.33,38.4,20.93,3
14,37.97,38.19,23.29,1
15,52.35,51.21,14.59,3
16,56.18,43.17,34.49,0
17,56.08,43.69,31.89,1
18,31.67,23.76,12.12,2
19,40.11,35.23,7.24,2
20,50.06,52.39,31.64,2
21,39.43,34.05,26.0,0
22,58.99,54.29,18.82,1
23,65.08,54.51,10.8,3
24,29.51,24.76,17.7,1
