month_index,monthly_inflow,monthly_outflow,average_balance,cheque_bounce_count
1,713.97,573.99,158.31,3
2,1043.82,959.04,520.81,1
3,1232.91,1356.16,530.6,1
4,994.38,1055.49,688.14,0
5,1440.57,1491.35,782.74,0
6,922.82,996.09,402.08,0
7,866.02,823.43,269.63,0
8,984.68,759.83,293.44,0
9,968.85,1095.13,477.04,3
10,1153.34,1113.27,438.56,0
11,1294.89,1308.86,386.66,0
12,674.64,778.54,174.9,2
13,986.2,822.08,208.73,0
14,988.43,881.11,150.61,1
15,1108.1,1219.08,297.08,0
16,1052.0,1234.48,642.86,3
17,1404.34,1173.87,618.83,1
18,787.07,736.07,329.97,3
19,840.71,743.81,578.7,1
20,1135.38,1070.48,356.17,1
21,1224.93,1229.67,323.1,3
22,1112.73,943.95,572.42,0
23,1245.67,993.0,255.48,3
24,909.17,733.04,153.76,3
