month_index,monthly_inflow,monthly_outflow,average_balance,cheque_bounce_count
1,465.01,537.31,209.02,0
2,395.2,440.61,138.72,2
3,419.68,373.7,106.62,0
4,608.88,520.35,366.96,3
5,545.19,504.37,169.65,3
6,340.9,363.75,118.47,3
7,377.77,333.54,224.22,3
8,403.91,444.73,121.2,0
9,422.86,378.66,131.43,1
10,584.74,612.59,397.09,1
11,467.71,384.05,147.24,2
12,371.79,318.68,172.07,1
13,459.56,520.21,115.4,0
14,464.71,492.34,270.25,2
15,484.82,384.68,130.24,3
16,506.23,397.45,143.99,2
17,604.14,682.59,187.66,1
18,434.41,410.29,153.5,0
19,437.47,333.97,198.81,0
20,487.97,504.99,236.06,2
21,491.75,560.93,184.43,2
22,451.79,431.48,126.29,1
23,556.26,541.19,171.24,3
24,336.32,284.88,234.44,3
